id	Song	Album	Year	File
1	I Saw Her Standing There	Please Please Me	1963	isawherstandingthere.txt
2	Misery	Please Please Me	1963	misery.txt
3	Anna (Go To Him)	Please Please Me	1963	annagotohim.txt
4	Chains	Please Please Me	1963	chains.txt
5	Boys	Please Please Me	1963	boys.txt
6	Ask Me Why	Please Please Me	1963	askmewhy.txt
7	Please Please Me	Please Please Me	1963	pleasepleaseme.txt
8	Love Me Do	Please Please Me	1963	lovemedo.txt
9	P.S. I Love You	Please Please Me	1963	psiloveyou.txt
10	Baby It's You	Please Please Me	1963	babyitsyou.txt
11	Do You Want To Know A Secret	Please Please Me	1963	doyouwanttoknowasecret.txt
12	A Taste Of Honey	Please Please Me	1963	atasteofhoney.txt
13	There's A Place	Please Please Me	1963	theresaplace.txt
14	Twist And Shout	Please Please Me	1963	twistandshout.txt
15	It Won't Be Long	With The Beatles	1963	itwontbelong.txt
16	All I've Got To Do	With The Beatles	1963	allivegottodo.txt
17	All My Loving	With The Beatles	1963	allmyloving.txt
18	Don't Bother Me	With The Beatles	1963	dontbotherme.txt
19	Little Child	With The Beatles	1963	littlechild.txt
20	Till There Was You	With The Beatles	1963	tilltherewasyou.txt
21	Please Mister Postman	With The Beatles	1963	pleasemisterpostman.txt
22	Roll Over Beethoven	With The Beatles	1963	rolloverbeethoven.txt
23	Hold Me Tight	With The Beatles	1963	holdmetight.txt
24	You Really Got A Hold On Me	With The Beatles	1963	youreallygotaholdonme.txt
25	I Wanna Be Your Man	With The Beatles	1963	iwannabeyourman.txt
26	Devil In Her Heart	With The Beatles	1963	devilinherheart.txt
27	Not A Second Time	With The Beatles	1963	notasecondtime.txt
28	Money (That's What I Want)	With The Beatles	1963	moneythatswhatiwant.txt
29	A Hard Day's Night	A Hard Day's Night	1964	aharddaysnight.txt
30	I Should Have Known Better	A Hard Day's Night	1964	ishouldhaveknownbetter.txt
31	If I Fell	A Hard Day's Night	1964	ififell.txt
32	I'm Happy Just To Dance With You	A Hard Day's Night	1964	imhappyjusttodancewithyou.txt
33	And I Love Her	A Hard Day's Night	1964	andiloveher.txt
34	Tell Me Why	A Hard Day's Night	1964	tellmewhy.txt
35	Can't Buy Me Love	A Hard Day's Night	1964	cantbuymelove.txt
